# x H_mean H_sd U_mean H_first H_second H_final U_final q_final
0.318374023437 0.0430319190284 5.45920153928e-08 2.73497018046 0.0430319190284 0.0430319190284 0.0430319190285 2.73497018046 0.117691015351
0.345122070312 0.0430957612134 5.64960848943e-08 2.73091946374 0.0430957612134 0.0430957612134 0.0430957612134 2.73091946374 0.117691053102
0.371870117188 0.0431596085485 5.50319228569e-08 2.72687973424 0.0431596085485 0.0431596085485 0.0431596085485 2.72687973424 0.117691061889
0.398618164063 0.0432234613435 4.83246593018e-08 2.72285143693 0.0432234613435 0.0432234613435 0.0432234613435 2.72285143693 0.117691063828
0.425366210937 0.043287319745 4.95861209132e-08 2.71883463432 0.0432873197451 0.0432873197451 0.0432873197451 2.71883463432 0.11769106415
0.452114257812 0.0433511838623 5.24371780719e-08 2.71482929887 0.0433511838623 0.0433511838623 0.0433511838623 2.71482929887 0.11769106409
0.478862304688 0.043415053796 4.99113996518e-08 2.71083538197 0.043415053796 0.043415053796 0.043415053796 2.71083538197 0.11769106394
0.505610351563 0.043478929645 6.22390610367e-08 2.70685283035 0.0434789296451 0.0434789296451 0.0434789296451 2.70685283035 0.117691063771
0.532358398437 0.0435428115078 6.31789217591e-08 2.70288158989 0.0435428115078 0.0435428115078 0.0435428115078 2.70288158989 0.117691063597
0.559106445312 0.0436066994827 3.71155160815e-08 2.69892160651 0.0436066994827 0.0436066994827 0.0436066994827 2.69892160651 0.117691063422
0.585854492187 0.0436705936681 0 2.69497282641 0.043670593668 0.043670593668 0.043670593668 2.69497282641 0.117691063249
0.612602539062 0.0437344941623 2.36507564352e-08 2.69103519613 0.0437344941624 0.0437344941624 0.0437344941624 2.69103519613 0.117691063076
0.639350585938 0.0437984010642 3.31944220581e-08 2.68710866252 0.0437984010642 0.0437984010642 0.0437984010642 2.68710866251 0.117691062904
0.666098632813 0.0438623144721 4.62995651137e-08 2.68319317276 0.0438623144721 0.0438623144721 0.0438623144721 2.68319317276 0.117691062733
0.692846679688 0.0439262344847 0 2.67928867438 0.0439262344847 0.0439262344847 0.0439262344847 2.67928867438 0.117691062563
0.719594726563 0.0439901612007 5.37019345379e-08 2.67539511521 0.0439901612007 0.0439901612007 0.0439901612007 2.67539511521 0.117691062394
