# x h_final q_final h_mean q_mean h_sd mean_first mean_last
0.30499999999999999 0.04346950128435239 0.11829483441530544 0.043469499556598602 0.11829483086815369 8.5428094586436027e-09 0.043469498783271124 0.043469500329927226
0.4538586956521739 0.043832621416669985 0.11831247290312115 0.043832614390265055 0.11831245861004 3.1234124322784205e-08 0.043832611214574622 0.04383261756595655
0.60271739130434776 0.044226509329276686 0.11839104288646793 0.044226481034330918 0.11839098606988466 1.2263258166141211e-07 0.044226467926700222 0.044226494141962953
0.75157608695652178 0.044731378574115369 0.11867531758075484 0.04473127103039129 0.11867511224541362 4.5799218919880005e-07 0.044731220103865002 0.044731321956918715
0.90043478260869558 0.045629279854797471 0.11968531487984177 0.045628892473735097 0.11968460043598007 1.6222196462181252e-06 0.045628704938697785 0.045629080008773346
1.0492934782608696 0.047814626559447085 0.12290015846046315 0.047813353341444792 0.1228979889053631 5.2396108494101736e-06 0.047812724047833731 0.047813982635056929
1.1981521739130434 0.053549517872370687 0.13119162662747022 0.053545986773750318 0.13118660175673585 1.4273302606927955e-05 0.053544207783638026 0.05354776576386485
1.3470108695652174 0.066802607882700885 0.14637364602063496 0.066794802576493076 0.14636590790925849 3.0981539490154549e-05 0.066790796552549783 0.066798808600437909
1.4958695652173912 0.091622879088924358 0.16366383901985693 0.091609378172032005 0.16365727764906002 5.2588013881119255e-05 0.091602300301959566 0.091616456042105693
1.6447282608695653 0.1279879117209507 0.17130550200404102 0.12797013162489795 0.17130575296552869 6.7721420153442525e-05 0.1279605411491517 0.12797972210064615
1.7935869565217391 0.16775813809375281 0.16192455166443692 0.16774108148001451 0.16193220330819039 6.2720574441745727e-05 0.16773150447757121 0.16775065848246484
1.9424456521739131 0.19893974375160942 0.14364688069081613 0.19892786100169738 0.14365600940663409 4.0879795256385232e-05 0.19892075905378145 0.19893496294961818
2.0913043478260871 0.21642009452169964 0.12884993713353798 0.216413691994923 0.12885629771572379 1.9057250497464003e-05 0.21640941785591591 0.21641796613393519
2.2401630434782609 0.22357497052173214 0.12124280238658912 0.22357187346008195 0.12124642076640196 6.6200337376264156e-06 0.22356936851145387 0.22357437840871591
2.3890217391304347 0.22572378840952689 0.11848700661809232 0.22572205505285622 0.11848923213094781 2.3176163271900108e-06 0.22572030619274724 0.22572380391296751
2.5378804347826085 0.22616029182258399 0.11777032040739203 0.22615896795328033 0.11777204877962991 1.8103510125612631e-06 0.22615746174587542 0.22616047416069335
2.6867391304347827 0.22617770543201693 0.11764537643046796 0.22617647705160421 0.11764697349500997 1.797764222496328e-06 0.22617503774771228 0.2261779163555028
2.8355978260869565 0.22612756818537638 0.11763586694158273 0.22612636462627903 0.11763743747235772 1.7789388177633475e-06 0.22612494975285605 0.22612777949970522
2.9844565217391303 0.22607335146985363 0.11763755436056139 0.22607216334560482 0.11763911809823913 1.7578355698884705e-06 0.2260707662588711 0.22607356043234755
